이름,종류,요소,대상량,"흐름(냉방:out, 난방:in, 요소기준)"
호텔,건물,공기,열,inout
호텔,건물,물,열,in
호텔,건물,기기,전기,in
테이터센터,건물,공기,열,out
테이터센터,건물,기기,전기,in
테이터센터,건물,기기,전기,in
태양열,에너지원,태양,열,out
태양광,에너지원,배터리,전기,out
지열,에너지원,토양,열,inout
오피스,건물,공기,열,out
오피스,건물,물,열,in
오피스,건물,기기,전기,in
아파트,건물,공기,열,inout
아파트,건물,물,열,in
아파트,건물,기기,전기,in
수영장,건물,물,열,in
수영장,건물,공기,열,inout
수영장,건물,기기,전기,in
쇼핑몰,건물,공기,열,inout
쇼핑몰,건물,물,열,in
쇼핑몰,건물,기기,전기,in
목욕탕,건물,공기,열,inout
목욕탕,건물,물,열,in
목욕탕,건물,기기,전기,in
냉동창고,건물,공기,열,out
냉동창고,건물,기기,전기,in
기지국,건물,공기,열,out
기지국,건물,기기,전기,in
공기열,에너지원,공기,열,inout
ESS 격납고,건물,배터리,전기,inout
ESS 격납고,건물,공기,열,out
ESS 격납고,건물,기기,전기,in
발전소,에너지원,기기,전기,out
발전소,에너지원,기기,열,out
학교,건물,공기,열,inout
학교,건물,기기,전기,in
학교,건물,물,열,in
경기장,건물,공기,열,out
경기장,건물,기기,전기,in
병원,건물,기기,전기,in
공장,건물,공기,열,out